Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,561.551,112.25842,296.35081017123304,Continuing
2,58,211.5086541241532,204.08742,9.585585,296.35081017123304,Continuing
3,59,219.61643412334288,204.57285,15.266209,296.35081017123304,Continuing
4,60,272.2240045816517,202.27805,20.775959,296.35081017123304,Continuing
5,6,204.17680289774336,344.44644,70.630104,296.35081017123304,Continuing
6,52,231.07458974395303,200.90987,27.190317,296.35081017123304,Continuing
7,45,224.5706110108938,230.23358,29.344145,296.35081017123304,Continuing
8,61,201.80400290446065,235.10144,29.85594,296.35081017123304,Continuing
9,46,242.41091008794928,210.65825,27.22141,296.35081017123304,Continuing
10,49,242.91509227554656,203.7263,27.524881,296.35081017123304,Continuing
11,7,117.40631603510326,186.63437,54.040684,296.35081017123304,Continuing
12,56,175.8319549576918,182.48491,26.633522,296.35081017123304,Continuing
13,57,296.35081017123304,134.30444,21.42269,296.35081017123304,Max Elastic Modulus reached
