Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,422.12427,85.08368,296.35081017123304,Continuing
2,53,228.310761552046,235.58456,16.50684,296.35081017123304,Continuing
3,59,219.61643412334288,206.7108,14.002068,296.35081017123304,Continuing
4,60,272.2240045816517,201.58069,18.945286,296.35081017123304,Continuing
5,6,204.17680289774336,329.45288,66.036476,296.35081017123304,Continuing
6,52,231.07458974395303,210.91922,27.710745,296.35081017123304,Continuing
7,45,224.5706110108938,236.30457,29.463081,296.35081017123304,Continuing
8,61,201.80400290446065,222.29997,26.721418,296.35081017123304,Continuing
9,46,242.41091008794928,230.95326,27.289225,296.35081017123304,Continuing
10,49,242.91509227554656,229.94002,26.844957,296.35081017123304,Continuing
11,7,117.40631603510326,189.72495,53.30309,296.35081017123304,Continuing
12,56,175.8319549576918,167.30809,22.167673,296.35081017123304,Continuing
13,41,220.5104016857166,139.45647,26.263985,296.35081017123304,Continuing
14,43,178.97379271834268,172.6896,49.150806,296.35081017123304,Continuing
15,35,207.09310351510177,166.18562,29.46393,296.35081017123304,Continuing
16,18,74.82276309333224,196.93857,38.44614,296.35081017123304,Continuing
17,42,179.2410423946837,164.60884,31.131926,296.35081017123304,Continuing
18,63,228.4671903908735,155.72801,22.497221,296.35081017123304,Continuing
19,62,277.3861208337041,165.32722,23.160294,296.35081017123304,Continuing
20,54,197.8404462303588,219.10965,31.045132,296.35081017123304,Continuing
21,55,168.33383829683325,215.7755,32.24353,296.35081017123304,Continuing
22,40,162.77817832797786,183.02708,26.295511,296.35081017123304,Continuing
23,37,152.72295816440803,188.96481,29.338984,296.35081017123304,Continuing
24,44,159.30709474405634,150.68857,22.04395,296.35081017123304,Continuing
25,38,182.9546167355371,150.95183,21.460466,296.35081017123304,Continuing
26,70,172.0732296612731,149.9783,33.76992,296.35081017123304,Continuing
27,72,189.441220061326,160.66779,38.895527,296.35081017123304,Continuing
28,57,296.35081017123304,153.64774,26.926876,296.35081017123304,Max Elastic Modulus reached
