dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
Membrane_dataset,GPR,0.5,9,1.0,5.0,5.0,0.0,1.0,18.0,18.0,0.0,-13.0,-13.0
Membrane_dataset,GPR,0.5,10,2.0,5.5,5.5,0.5,2.0,13.5,13.5,9.5,-8.0,-8.0
Membrane_dataset,GPR,0.5,11,3.0,22.666666666666668,24.0,16.35712552851373,3.0,4.333333333333333,4.0,0.4714045207910317,18.333333333333336,20.0
Membrane_dataset,GPR,0.5,13,1.0,27.0,27.0,0.0,1.0,5.0,5.0,0.0,22.0,22.0
Membrane_dataset,GPR,0.5,15,1.0,23.0,23.0,0.0,1.0,34.0,34.0,0.0,-11.0,-11.0
Membrane_dataset,GPR,0.5,16,1.0,28.0,28.0,0.0,1.0,37.0,37.0,0.0,-9.0,-9.0
Membrane_dataset,GPR,0.5,17,1.0,21.0,21.0,0.0,1.0,21.0,21.0,0.0,0.0,0.0
Membrane_dataset,GPR,1.0,5,1.0,10.0,10.0,0.0,1.0,27.0,27.0,0.0,-17.0,-17.0
Membrane_dataset,GPR,1.0,6,2.0,15.5,15.5,7.5,2.0,13.5,13.5,12.5,2.0,2.0
Membrane_dataset,GPR,1.0,7,1.0,12.0,12.0,0.0,1.0,25.0,25.0,0.0,-13.0,-13.0
Membrane_dataset,GPR,1.0,9,1.0,13.0,13.0,0.0,1.0,7.0,7.0,0.0,6.0,6.0
Membrane_dataset,GPR,1.0,10,2.0,12.0,12.0,1.0,2.0,11.5,11.5,7.5,0.5,0.5
Membrane_dataset,GPR,1.0,11,3.0,18.333333333333332,13.0,11.264496832477201,3.0,4.333333333333333,4.0,0.4714045207910317,14.0,9.0
Membrane_dataset,GPR,1.0,13,1.0,17.0,17.0,0.0,1.0,4.0,4.0,0.0,13.0,13.0
Membrane_dataset,GPR,1.0,15,1.0,13.0,13.0,0.0,1.0,24.0,24.0,0.0,-11.0,-11.0
Membrane_dataset,GPR,1.0,16,1.0,21.0,21.0,0.0,1.0,19.0,19.0,0.0,2.0,2.0
Membrane_dataset,GPR,1.0,17,1.0,10.0,10.0,0.0,1.0,22.0,22.0,0.0,-12.0,-12.0
Membrane_dataset,RFR,0.1,5,1.0,10.0,10.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0
Membrane_dataset,RFR,0.1,6,2.0,14.0,14.0,9.0,2.0,11.0,11.0,1.0,3.0,3.0
Membrane_dataset,RFR,0.1,7,1.0,23.0,23.0,0.0,1.0,30.0,30.0,0.0,-7.0,-7.0
Membrane_dataset,RFR,0.1,9,1.0,15.0,15.0,0.0,1.0,24.0,24.0,0.0,-9.0,-9.0
Membrane_dataset,RFR,0.1,10,2.0,14.5,14.5,6.5,2.0,25.5,25.5,0.5,-11.0,-11.0
Membrane_dataset,RFR,0.1,11,3.0,17.0,21.0,6.377042156569663,3.0,20.666666666666668,19.0,2.3570226039551585,-3.666666666666668,2.0
Membrane_dataset,RFR,0.1,13,1.0,17.0,17.0,0.0,1.0,26.0,26.0,0.0,-9.0,-9.0
Membrane_dataset,RFR,0.1,15,1.0,16.0,16.0,0.0,1.0,9.0,9.0,0.0,7.0,7.0
Membrane_dataset,RFR,0.1,16,1.0,14.0,14.0,0.0,1.0,21.0,21.0,0.0,-7.0,-7.0
Membrane_dataset,RFR,0.1,17,1.0,14.0,14.0,0.0,1.0,7.0,7.0,0.0,7.0,7.0
Membrane_dataset,RFR,0.5,5,1.0,27.0,27.0,0.0,1.0,16.0,16.0,0.0,11.0,11.0
Membrane_dataset,RFR,0.5,6,2.0,18.5,18.5,4.5,2.0,26.0,26.0,8.0,-7.5,-7.5
Membrane_dataset,RFR,0.5,7,1.0,8.0,8.0,0.0,1.0,36.0,36.0,0.0,-28.0,-28.0
Membrane_dataset,RFR,0.5,9,1.0,22.0,22.0,0.0,1.0,11.0,11.0,0.0,11.0,11.0
Membrane_dataset,RFR,0.5,10,2.0,28.5,28.5,5.5,2.0,28.5,28.5,0.5,0.0,0.0
Membrane_dataset,RFR,0.5,11,3.0,24.0,23.0,1.4142135623730951,3.0,24.666666666666668,22.0,3.7712361663282534,-0.6666666666666679,1.0
